"Submit Withdrawal","Widerruf tätigen"
"Cancel","Abbrechen"
"Withdrawal","Widerruf"
"Withdrawals","Widerrufe"
"Withdrawal Right","Widerrufsrecht"
"Withdrawal Settings","Widerrufs-Einstellungen"
"Enable Withdrawal","Widerruf aktivieren"
"Show on Order List","In Bestellübersicht anzeigen"
"Show on Order Detail","In Bestelldetailansicht anzeigen"
"SKU Regex Pattern","SKU Regex-Muster"
"Default Withdrawal Period (Days)","Standard-Widerrufsfrist (Tage)"
"Delivery Date Order Attribute","Lieferdatum Bestell-Attribut"
"Delivery Date Withdrawal Period (Days)","Widerrufsfrist ab Lieferdatum (Tage)"
"Withdrawal Period per Shipping Method","Widerrufsfrist pro Versandmethode"
"Notification Email Recipients","Benachrichtigungs-E-Mail-Empfänger"
"Automatic Credit Memo","Automatische Gutschrift"
"Period Start From","Fristbeginn ab"
"Order Date","Bestelldatum"
"Shipment Date","Versanddatum"
"Email Sender","E-Mail-Absender"
"Customer Email Template","Kunden-E-Mail-Vorlage"
"Store Notification Email Template","Shop-Benachrichtigungs-E-Mail-Vorlage"
"Pending","Ausstehend"
"Confirmed","Bestätigt"
"Rejected","Abgelehnt"
"A withdrawal request already exists for this order.","Für diese Bestellung wurde bereits ein Widerruf beantragt."
"The withdrawal period has expired.","Die Widerrufsfrist ist abgelaufen."
"Withdrawal requested","Widerruf beantragt"
"Withdrawal has been sent via email, you will automatically receive a copy of the message.","Widerruf wurde per E-Mail versendet, du erhältst automatisch die Nachricht in Kopie."
"Withdrawal is currently not available.","Widerruf ist derzeit nicht verfügbar."
"Order not found.","Bestellung nicht gefunden."
"Invalid form key. Please try again.","Ungültiger Formular-Schlüssel. Bitte erneut versuchen."
"I would like to exercise my <strong>right of withdrawal.</strong><br/><strong>Note:</strong> The right of withdrawal only applies to accessories and the Resch&Frisch oven <strong>(baked goods are excluded from withdrawal).</strong><br/>Resch&Frisch may contact me to arrange the return.","Ich möchte mein <strong>Widerrufsrecht wahrnehmen.</strong><br/><strong>Hinweis:</strong> Das Widerrufsrecht gilt nur für Zubehör und den Resch&Frisch Ofen <strong>(Backwaren sind vom Widerruf ausgenommen).</strong><br/>Resch&Frisch darf mich zur Abwicklung der Rückgabe kontaktieren."
"View Order","Bestellung ansehen"
"Create Credit Memo","Gutschrift erstellen"
"Are you sure you want to create a credit memo for this withdrawal?","Möchten Sie wirklich eine Gutschrift für diesen Widerruf erstellen?"
"Credit memo has been created.","Gutschrift wurde erstellt."
"Withdrawal Notification","Widerrufs-Benachrichtigung"
"A customer has submitted a withdrawal request.","Ein Kunde hat einen Widerruf eingereicht."
"General","Allgemein"
"Withdrawal Period","Widerrufsfrist"
"Email","E-Mail"
"Add","Hinzufügen"
"Shipping Method","Versandmethode"
"Period (Days)","Frist (Tage)"
"Submitting...","Wird gesendet..."
"Dear","Sehr geehrte/r"
"Order","Bestellung"
"Customer ID","Kunden-ID"
"Customer Name","Kundenname"
"Customer Email","Kunden-E-Mail"
"Date","Datum"
"Items","Artikel"
"I exercise my right of withdrawal, as I have the right to withdraw from this contract within fourteen days without giving any reason. The right of withdrawal does not apply to distance contracts for the delivery of goods which are liable to deteriorate or expire rapidly; for the delivery of food and beverages; for the delivery of sealed goods which are not suitable for return due to health protection or hygiene reasons, if the seal has been removed. Resch&Frisch may contact me to arrange the return of goods (excluding baked goods).","Ich nehme mein Widerrufsrecht wahr, denn ich habe das Recht, binnen vierzehn Tagen ohne Angabe von Gründen diesen Vertrag zu widerrufen. Das Widerrufsrecht besteht nicht bei Fernabsatzverträgen zur Lieferung von Waren, die schnell verderben können oder deren Verfallsdatum schnell überschritten würde; Zur Lieferung von Speisen und Getränken; zur Lieferung versiegelter Waren, die aus Gründen des Gesundheitsschutzes oder der Hygiene nicht zur Rückgabe geeignet sind, wenn die Versiegelung entfernt wurde. Resch&Frisch darf mich zur Abwicklung der Rückgabe der Waren (ausgenommen Backwaren) kontaktieren."
"Automatic credit memo for withdrawal request","Automatische Gutschrift für Widerrufsantrag"
"Regex pattern to determine eligible SKUs for withdrawal. E.g. <code>^[^1]</code> matches SKUs not starting with ""1"". Leave empty to allow all SKUs.","Regex-Muster zur Bestimmung der widerrufsfähigen SKUs. Z.B. <code>^[^1]</code> trifft auf SKUs zu, die nicht mit ""1"" beginnen. Leer lassen, um alle SKUs zuzulassen."
"Automatically create a credit memo for eligible items when a withdrawal is submitted.","Automatisch eine Gutschrift für berechtigte Artikel erstellen, wenn ein Widerruf eingereicht wird."
"Determines the starting point for the withdrawal period calculation.","Bestimmt den Startpunkt für die Berechnung der Widerrufsfrist."
"Default number of days for the withdrawal period. Used as fallback if no shipping method specific period is configured.","Standard-Anzahl der Tage für die Widerrufsfrist. Wird als Fallback verwendet, wenn keine versandmethodenspezifische Frist konfiguriert ist."
"Order attribute code containing the delivery date (e.g. c_delivery_date). If configured and the attribute has a value, the withdrawal period starts from this date. Leave empty to disable.","Bestell-Attributcode mit dem Lieferdatum (z.B. c_delivery_date). Wenn konfiguriert und das Attribut einen Wert hat, beginnt die Widerrufsfrist ab diesem Datum. Leer lassen zum Deaktivieren."
"Withdrawal period in days when the order has a delivery date. The period starts from the delivery date. Leave empty to use the default period.","Widerrufsfrist in Tagen, wenn die Bestellung ein Lieferdatum hat. Die Frist beginnt ab dem Lieferdatum. Leer lassen, um die Standardfrist zu verwenden."
"No Delivery Date Shipping Method","Versandmethode ohne Liefertermin"
"No Delivery Date Withdrawal Period (Days)","Widerrufsfrist ohne Liefertermin (Tage)"
"Shipping method code for orders without a suitable delivery date (e.g. <code>homedelivery_other</code>). Leave empty to disable.","Versandmethoden-Code für Bestellungen ohne passenden Liefertermin (z.B. <code>homedelivery_other</code>). Leer lassen zum Deaktivieren."
"Withdrawal period in days for orders where no suitable delivery date was selected.","Widerrufsfrist in Tagen für Bestellungen, bei denen kein passender Liefertermin gewählt wurde."
"Configure individual withdrawal periods per shipping method. Fallback to default period if not configured.","Individuelle Widerrufsfristen pro Versandmethode konfigurieren. Fallback auf die Standardfrist, wenn nicht konfiguriert."
"Customer Email Subject","Kunden-E-Mail-Betreff"
"Notification Email Subject","Benachrichtigungs-E-Mail-Betreff"
"Subject line for the customer withdrawal email. Available placeholders: <code>{{order_id}}</code>, <code>{{customer_id}}</code>, <code>{{customer_name}}</code>","Betreffzeile für die Kunden-Widerrufs-E-Mail. Verfügbare Platzhalter: <code>{{order_id}}</code>, <code>{{customer_id}}</code>, <code>{{customer_name}}</code>"
"Subject line for the store notification email. Available placeholders: <code>{{order_id}}</code>, <code>{{customer_id}}</code>, <code>{{customer_name}}</code>","Betreffzeile für die Shop-Benachrichtigungs-E-Mail. Verfügbare Platzhalter: <code>{{order_id}}</code>, <code>{{customer_id}}</code>, <code>{{customer_name}}</code>"
"Comma-separated list of email addresses to receive withdrawal notifications.","Kommagetrennte Liste von E-Mail-Adressen für Widerrufs-Benachrichtigungen."
